y,x,b,x1,y1,x2,y2
52.010958,4.331687,192.074419,52.011014,4.331258,52.010901,4.332115
52.010895,4.331765,192.242389,52.010953,4.331336,52.010838,4.332193
52.010833,4.331843,192.236694,52.010890,4.331415,52.010776,4.332271
52.010770,4.331921,192.085877,52.010826,4.331492,52.010713,4.332349
52.010706,4.331997,191.674930,52.010760,4.331568,52.010651,4.332426
52.010641,4.332074,191.673856,52.010696,4.331644,52.010587,4.332503
52.010577,4.332150,191.669711,52.010632,4.331721,52.010522,4.332580
52.010512,4.332227,191.562038,52.010566,4.331797,52.010458,4.332656
52.010447,4.332303,191.501951,52.010501,4.331873,52.010394,4.332732
52.010383,4.332379,191.497826,52.010436,4.331949,52.010329,4.332808
52.010318,4.332455,191.495251,52.010372,4.332025,52.010264,4.332885
52.010253,4.332531,191.494709,52.010307,4.332102,52.010199,4.332961
52.010188,4.332607,191.490583,52.010242,4.332178,52.010134,4.333037
52.010123,4.332683,191.486456,52.010177,4.332254,52.010070,4.333113
52.010060,4.332761,191.841463,52.010115,4.332332,52.010004,4.333190
52.009996,4.332838,191.930026,52.010052,4.332409,52.009941,4.333267
52.009933,4.332915,191.925845,52.009989,4.332487,52.009877,4.333344
52.009869,4.332992,191.794130,52.009925,4.332563,52.009814,4.333422
52.009805,4.333069,191.641567,52.009860,4.332640,52.009751,4.333498
52.009741,4.333146,191.617318,52.009795,4.332716,52.009687,4.333575
52.009676,4.333222,191.562577,52.009730,4.332793,52.009622,4.333652
52.009610,4.333297,191.107034,52.009662,4.332867,52.009558,4.333727
52.010843,4.331306,339.399573,52.010938,4.331717,52.010748,4.330896
52.011045,4.332241,10.635966,52.010995,4.332672,52.011094,4.331810
52.011102,4.332159,14.040785,52.011036,4.332584,52.011167,4.331734
52.011077,4.332135,170.523869,52.011032,4.331702,52.011121,4.332567
52.011004,4.332204,189.426190,52.011048,4.331771,52.010960,4.332636
52.010942,4.332282,192.292204,52.010999,4.331854,52.010884,4.332710
52.010894,4.332228,168.987280,52.010843,4.331798,52.010946,4.332659
52.010850,4.332139,160.484303,52.010760,4.331725,52.010940,4.332552
52.010849,4.332053,93.503802,52.010580,4.332026,52.011119,4.332079
52.010906,4.331970,14.169358,52.010840,4.332395,52.010972,4.331545
52.010963,4.331888,14.173727,52.010897,4.332313,52.011029,4.331463
52.010946,4.331860,163.748732,52.010871,4.331440,52.011022,4.332281
52.010879,4.331935,190.909045,52.010930,4.331504,52.010828,4.332365
52.010828,4.332020,196.247776,52.010904,4.331600,52.010753,4.332441
52.010785,4.332076,192.410657,52.010843,4.331648,52.010727,4.332504
52.010738,4.332032,170.795335,52.010695,4.331599,52.010781,4.332465
52.010730,4.332118,241.863659,52.010968,4.331912,52.010492,4.332325
52.010764,4.332177,343.267734,52.010841,4.332596,52.010686,4.331757
52.010744,4.332275,220.479445,52.010919,4.331941,52.010569,4.332608
